Name,RANK,GP,PPG,FGA,RPG,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,APG,BPG,SPG,TPG,F,POS,Team
       Kyrin Galloway    ,115,11,1.73,1.64,1.55,0.73,44.4,0.55,0.09,16.7,0.18,0.18,100,0.18,0.36,0.09,0.09,1,F,Adelaide 36ers
       Andrew Ogilvy    ,116,6,1.67,1,1.5,0.5,50,0,0,--,0.67,0.67,100,0,0,0.17,0.17,3,C,Illawarra Hawks
       Zac Triplett    ,117,3,1.67,2,0.67,0.67,33.3,1,0.33,33.3,0,0,--,0.33,0.33,0,0,0,G,Melbourne United
       Tamuri Wigness    ,118,7,1.57,1.43,1,0.71,50,0.29,0.14,50,0,0,--,0.57,0,0.29,0.57,2,G,Brisbane Bullets
       Tohi Smith-Milner    ,119,10,1.5,1.5,1.5,0.6,40,0.7,0.2,28.6,0.1,0.1,100,0.2,0.1,0.1,0.2,2,F,South East Melbourne Phoenix
       Robert Loe    ,120,8,1.38,1.63,2.25,0.5,30.8,1.13,0.13,11.1,0.5,0.25,50,0.13,0.13,0.13,0.13,4,C,New Zealand Breakers
       Oliver Hayes-Brown    ,121,6,1.33,0.67,1.67,0.5,75,0,0,--,0.33,0.33,100,0.17,0,0,0.17,3,C,Perth Wildcats
       Jaylin Galloway    ,122,8,1.25,1.38,1,0.5,36.4,0.5,0.13,25,0.13,0.13,100,0.5,0,0.25,0.38,3,F,Sydney Kings
       Rasmus Bach    ,123,9,1.11,1.44,1.78,0.33,23.1,1.11,0.22,20,0.22,0.22,100,0.56,0.11,0.22,0.44,4,G,New Zealand Breakers
       Tom Digbeu    ,124,9,1,0.78,1.22,0.22,28.6,0,0,--,0.89,0.56,62.5,0.33,0.11,0.22,0.78,7,F,Brisbane Bullets
       Nikita Mikhailovskii    ,125,2,1,1,0,0.5,50,0.5,0,--,0,0,--,0.5,0,0.5,1,0,F,Tasmanian Jackjumpers
       Sean Macdonald    ,126,2,1,0.5,0.5,0.5,100,0,0,--,0,0,--,0,0,0,0,0,G,Tasmanian Jackjumpers
       Callum Dalton    ,127,4,1,0.25,0.5,0.25,100,0,0,--,0.5,0.5,100,0,0.25,0.25,0.75,1,C,Melbourne United
       Koen Sapwell    ,128,2,1,1.5,0,0.5,33.3,0.5,0,--,0,0,--,0,0,0,0.5,0,G,Adelaide 36ers
       Isaac Gattorna    ,129,3,0,1,0.33,0,--,1,0,--,0.67,0,--,0,0,0,0.33,2,F,Sydney Kings
       Nick Marshall    ,130,3,0,0.33,0,0,--,0,0,--,0,0,--,0.67,0,0,0.67,0,F,Adelaide 36ers
       Taane Samuel    ,131,1,0,0,0,0,--,0,0,--,0,0,--,0,0,0,0,0,F,Brisbane Bullets
       Max Mackinnon    ,132,1,0,1,0,0,--,0,0,--,0,0,--,0,0,0,0,0,G,Melbourne United
       Brayden Inger    ,133,3,0,0,0,0,--,0,0,--,0,0,--,0,0,0,0.67,0,--,Cairns Taipans
       Robbie Heath    ,134,1,0,1,0,0,--,0,0,--,0,0,--,0,0,0,0,1,G,Cairns Taipans
       Emmett Naar    ,135,1,0,1,0,0,--,1,0,--,0,0,--,0,0,0,0,0,G,Illawarra Hawks
       Lachlan Dent    ,136,2,0,0.5,0,0,--,0.5,0,--,0,0,--,0,0,0,0.5,0,G,Illawarra Hawks
       Isaac White    ,137,8,0,0.63,0.5,0,--,0.13,0,--,0,0,--,0.25,0.13,0,0,2,G,Illawarra Hawks
       Jock Perry    ,138,3,0,0.33,0.33,0,--,0.33,0,--,0,0,--,0,0,0,0.33,1,C,Tasmanian Jackjumpers
       Dion Prewster    ,139,7,0,0.14,0.29,0,--,0,0,--,0,0,--,0.14,0,0,0.43,0,G,Tasmanian Jackjumpers
       Mitchell Clarke    ,140,3,0,0.33,0,0,--,0,0,--,0,0,--,0,0,0,0.67,0,G,Perth Wildcats
       Jack Purchase    ,141,8,0,0.75,0.25,0,--,0.75,0,--,0,0,--,0,0,0,0.13,1,F,Perth Wildcats
       Tristan Forsyth    ,142,3,0,0,0,0,--,0,0,--,0,0,--,0,0,0,0,1,C,Tasmanian Jackjumpers
       Jayden Hodgson    ,143,4,0,0.25,0,0,--,0.25,0,--,0,0,--,0.5,0,0,0,0,G,Sydney Kings
       Iggy Mitchell    ,144,1,0,0,0,0,--,0,0,--,0,0,--,0,0,0,0,0,G,Sydney Kings
